[00:00:00,000 - 00:00:00,080] 
[00:03:04,190 - 00:03:04,480]  really
[00:03:04,480 - 00:03:04,860]  paying
[00:03:04,860 - 00:03:05,020]  for
[00:03:05,020 - 00:03:05,190]  is
[00:03:05,190 - 00:03:05,190]  a
[00:03:05,190 - 00:03:06,070]  psychological
[00:03:06,070 - 00:03:06,320]  gap
[00:03:06,320 - 00:03:06,830]  between
[00:03:06,830 - 00:03:07,120]  just
[00:03:07,120 - 00:03:07,560]  enough
[00:03:07,560 - 00:03:07,780]  and
[00:03:07,780 - 00:03:08,220]  plenty
[00:03:08,220 - 00:03:08,430] .
[00:03:08,430 - 00:03:08,830]  AI
[00:03:08,830 - 00:03:08,930]  tiers
[00:03:08,930 - 00:03:09,280]  work
[00:03:09,280 - 00:03:09,440]  the
[00:03:09,440 - 00:03:09,770]  same
[00:03:09,770 - 00:03:09,950]  way
[00:03:09,950 - 00:03:10,160] .
[00:03:10,160 - 00:03:10,380]  The
[00:03:10,380 - 00:03:10,890]  compute
[00:03:10,890 - 00:03:11,680]  difference
[00:03:11,680 - 00:03:12,000]  between
[00:03:12,000 - 00:03:12,000] 
[00:03:12,000 - 00:03:12,250]  the
[00:03:12,250 - 00:03:12,490]  mid
[00:03:12,490 - 00:03:12,800]  and
[00:03:12,800 - 00:03:13,000]  top
[00:03:13,000 - 00:03:13,420]  model
[00:03:13,420 - 00:03:13,590]  is
[00:03:13,590 - 00:03:13,920]  real
[00:03:13,920 - 00:03:14,300] ,
[00:03:14,300 - 00:03:14,430]  sure
[00:03:14,430 - 00:03:14,590] ,
[00:03:14,590 - 00:03:14,900]  but
[00:03:14,900 - 00:03:15,240]  the
[00:03:15,240 - 00:03:15,510]  price
[00:03:15,510 - 00:03:15,800]  gap
[00:03:15,800 - 00:03:15,930]  is
[00:03:15,930 - 00:03:16,770]  engineered
[00:03:16,770 - 00:03:16,920] ,
[00:03:16,920 - 00:03:17,370]  not
[00:03:17,370 - 00:03:17,520]  just
[00:03:17,520 - 00:03:18,350]  calculated
[00:03:18,350 - 00:03:18,930] .
[00:03:18,930 - 00:03:19,000]  There
[00:03:19,000 - 00:03:19,120] 's
[00:03:19,120 - 00:03:19,500]  also
[00:03:19,500 - 00:03:19,500]  a
[00:03:19,500 - 00:03:20,040]  quieter
[00:03:20,040 - 00:03:20,500]  reason
[00:03:20,500 - 00:03:20,730] .
[00:03:20,730 - 00:03:21,010]  One
[00:03:21,010 - 00:03:21,340]  that
[00:03:21,340 - 00:03:21,420] 's
[00:03:21,420 - 00:03:21,730]  less
[00:03:21,730 - 00:03:22,110]  about
[00:03:22,110 - 00:03:22,490]  trick
[00:03:22,490 - 00:03:22,720] ing
[00:03:22,720 - 00:03:23,330]  anyone
[00:03:23,330 - 00:03:23,410]  and
[00:03:23,410 - 00:03:23,720]  more
[00:03:23,720 - 00:03:24,090]  about
[00:03:24,090 - 00:03:24,390]  trio
[00:03:24,390 - 00:03:24,820] .
[00:03:24,820 - 00:03:25,040]  Different
[00:03:25,040 - 00:03:25,520]  tasks
[00:03:25,520 - 00:03:26,140]  genuinely
[00:03:26,140 - 00:03:26,440]  need
[00:03:26,440 - 00:03:27,020]  different
[00:03:27,020 - 00:03:27,510]  amounts
[00:03:27,510 - 00:03:27,620]  of
[00:03:27,620 - 00:03:27,980]  thinking
[00:03:27,980 - 00:03:28,530] .
[00:03:28,530 - 00:03:28,590]  Sum
[00:03:28,590 - 00:03:28,790] mar
[00:03:28,790 - 00:03:29,130] izing
[00:03:29,130 - 00:03:29,470]  email
[00:03:29,470 - 00:03:29,770]  doesn
[00:03:29,770 - 00:03:30,060] 't
[00:03:30,060 - 00:03:30,210]  need
[00:03:30,210 - 00:03:30,410]  the
[00:03:30,410 - 00:03:30,800]  same
[00:03:30,800 - 00:03:31,600]  horsepower
[00:03:31,600 - 00:03:31,760]  as
[00:03:31,760 - 00:03:32,200]  solving
[00:03:32,200 - 00:03:32,260]  a
[00:03:32,260 - 00:03:32,840]  research
[00:03:32,840 - 00:03:33,260]  problem
[00:03:33,260 - 00:03:33,600] .
[00:03:33,600 - 00:03:33,690]  So
[00:03:33,690 - 00:03:33,800]  the
[00:03:33,800 - 00:03:34,140]  tiers
[00:03:34,140 - 00:03:34,270]  do
[00:03:34,270 - 00:03:34,610]  serve
[00:03:34,610 - 00:03:34,670]  a
[00:03:34,670 - 00:03:34,940]  real
[00:03:34,940 - 00:03:35,480]  function
[00:03:35,480 - 00:03:35,950] .
[00:03:35,950 - 00:03:36,010]  They
[00:03:36,010 - 00:03:36,090]  let
[00:03:36,090 - 00:03:36,250]  the
[00:03:36,250 - 00:03:36,560]  company
[00:03:36,560 - 00:03:36,880]  route
[00:03:36,880 - 00:03:36,930] 
[00:03:36,930 - 00:03:37,350]  cheap
[00:03:37,350 - 00:03:37,730] ,
[00:03:37,730 - 00:03:37,760]  simple
[00:03:37,760 - 00:03:38,240]  request
[00:03:38,240 - 00:03:38,370]  to
[00:03:38,370 - 00:03:38,460]  a
[00:03:38,460 - 00:03:38,770]  cheap
[00:03:38,770 - 00:03:39,110]  model
[00:03:39,110 - 00:03:39,320]  and
[00:03:39,320 - 00:03:39,670]  save
[00:03:39,670 - 00:03:39,780]  the
[00:03:39,780 - 00:03:40,400]  expensive
[00:03:40,400 - 00:03:40,880]  compute
[00:03:40,880 - 00:03:41,080]  for
[00:03:41,080 - 00:03:41,700]  people
[00:03:41,700 - 00:03:42,080]  actually
[00:03:42,080 - 00:03:42,480]  pushing
[00:03:42,480 - 00:03:42,880]  it
[00:03:42,880 - 00:03:42,880] .
[00:03:42,880 - 00:03:43,150]  That
[00:03:43,150 - 00:03:43,410]  part
[00:03:43,410 - 00:03:43,620]  isn
[00:03:43,620 - 00:03:43,820] 't
[00:03:43,820 - 00:03:44,570]  manipulation
[00:03:44,570 - 00:03:44,770] .
[00:03:44,770 - 00:03:45,250]  That
[00:03:45,250 - 00:03:45,310]  part
[00:03:45,310 - 00:03:45,520]  is
[00:03:45,520 - 00:03:45,710]  just
[00:03:45,710 - 00:03:46,320]  efficient
[00:03:46,320 - 00:03:46,840]  plumbing
[00:03:46,840 - 00:03:47,280] .
[00:03:47,280 - 00:03:47,330]  But
[00:03:47,330 - 00:03:47,470]  let
[00:03:47,470 - 00:03:47,660] 's
[00:03:47,660 - 00:03:47,760]  not
[00:03:47,760 - 00:03:48,080]  pretend
[00:03:48,080 - 00:03:48,230]  that
[00:03:48,230 - 00:03:48,320] 's
[00:03:48,320 - 00:03:48,520]  the
[00:03:48,520 - 00:03:48,850]  whole
[00:03:48,850 - 00:03:49,180]  story
[00:03:49,180 - 00:03:49,530] .
[00:03:49,530 - 00:03:49,660]  If
[00:03:49,660 - 00:03:49,670]  it
[00:03:49,670 - 00:03:49,960]  were
[00:03:49,960 - 00:03:50,340]  purely
[00:03:50,340 - 00:03:50,680]  about
[00:03:50,680 - 00:03:51,220]  matching
[00:03:51,220 - 00:03:51,570]  tasks
[00:03:51,570 - 00:03:51,690]  to
[00:03:51,690 - 00:03:52,030]  power
[00:03:52,030 - 00:03:52,240] ,
[00:03:52,240 - 00:03:52,440]  you
[00:03:52,440 - 00:03:52,610]  wouldn
[00:03:52,610 - 00:03:52,690] 't
[00:03:52,690 - 00:03:52,880]  need
[00:03:52,880 - 00:03:53,200]  three
[00:03:53,200 - 00:03:53,600]  neatly
[00:03:53,600 - 00:03:53,950]  priced
[00:03:53,950 - 00:03:54,240]  tiers
[00:03:54,240 - 00:03:54,700]  marketed
[00:03:54,700 - 00:03:54,990]  like
[00:03:54,990 - 00:03:55,070]  a
[00:03:55,070 - 00:03:55,700]  subscription
[00:03:55,700 - 00:03:56,050]  ladder
[00:03:56,050 - 00:03:56,390] .
[00:03:56,390 - 00:03:56,580]  You
[00:03:56,580 - 00:03:56,620]  just
[00:03:56,620 - 00:03:56,850]  have
[00:03:56,850 - 00:03:57,380]  automatic
[00:03:57,380 - 00:03:57,790]  routing
[00:03:57,790 - 00:03:58,240]  behind
[00:03:58,240 - 00:03:58,400]  the
[00:03:58,400 - 00:03:59,280]  scenes
[00:03:59,280 - 00:03:59,280] .
[00:03:59,280 - 00:03:59,840]  Invisible
[00:03:59,840 - 00:04:00,000]  to
[00:04:00,000 - 00:04:00,140]  the
[00:04:00,140 - 00:04:00,380]  user
[00:04:00,380 - 00:04:00,500] ,
[00:04:00,500 - 00:04:00,940]  the
[00:04:00,940 - 00:04:01,010]  fact
[00:04:01,010 - 00:04:01,190]  that
[00:04:01,190 - 00:04:01,440]  they
[00:04:01,440 - 00:04:01,690]  show
[00:04:01,690 - 00:04:01,870]  you
[00:04:01,870 - 00:04:02,040]  the
[00:04:02,040 - 00:04:02,350]  tiers
[00:04:02,350 - 00:04:02,690] ,
[00:04:02,690 - 00:04:02,880]  name
[00:04:02,880 - 00:04:03,200]  them
[00:04:03,200 - 00:04:03,520] ,
[00:04:03,520 - 00:04:03,710]  price
[00:04:03,710 - 00:04:04,090]  them
[00:04:04,090 - 00:04:04,160] ,
[00:04:04,160 - 00:04:04,240]  and
[00:04:04,240 - 00:04:04,400]  let
[00:04:04,400 - 00:04:04,640]  you
[00:04:04,640 - 00:04:04,670] 
[00:04:04,670 - 00:04:05,100]  choose
[00:04:05,100 - 00:04:05,650] .
[00:04:05,650 - 00:04:05,700]  That
[00:04:05,700 - 00:04:05,800] 's
[00:04:05,800 - 00:04:06,030]  not
[00:04:06,030 - 00:04:07,040]  efficiency
[00:04:07,040 - 00:04:07,180] .
[00:04:07,180 - 00:04:07,350]  That
[00:04:07,350 - 00:04:07,500] 's
[00:04:07,500 - 00:04:07,570]  a
[00:04:07,570 - 00:04:07,870]  menu
[00:04:07,870 - 00:04:08,330] .
[00:04:08,330 - 00:04:08,340]  And
[00:04:08,340 - 00:04:08,730]  menus
[00:04:08,730 - 00:04:08,960]  are
[00:04:08,960 - 00:04:09,350]  never
[00:04:09,350 - 00:04:10,240]  neutral
[00:04:10,240 - 00:04:10,330] .
[00:04:10,330 - 00:04:10,640]  Somebody
[00:04:10,640 - 00:04:11,040]  designed
[00:04:11,040 - 00:04:11,200]  them
[00:04:11,200 - 00:04:11,360]  to
[00:04:11,360 - 00:04:11,650]  make
[00:04:11,650 - 00:04:11,740]  you
[00:04:11,740 - 00:04:12,020]  order
[00:04:12,020 - 00:04:12,180]  the
[00:04:12,180 - 00:04:12,540]  middle
[00:04:12,540 - 00:04:12,840]  option
[00:04:12,840 - 00:04:13,000] .
[00:04:13,000 - 00:04:13,330]  So
[00:04:13,330 - 00:04:13,500]  next
[00:04:13,500 - 00:04:13,550]  time
[00:04:13,550 - 00:04:13,710]  you
[00:04:13,710 - 00:04:13,910] 're
[00:04:13,910 - 00:04:14,260]  picking
[00:04:14,260 - 00:04:14,650]  between
[00:04:14,650 - 00:04:14,810]  the
[00:04:14,810 - 00:04:15,090]  smart
[00:04:15,090 - 00:04:15,250]  one
[00:04:15,250 - 00:04:15,520]  and
[00:04:15,520 - 00:04:15,680]  the
[00:04:15,680 - 00:04:16,010]  fast
[00:04:16,010 - 00:04:16,160]  one
[00:04:16,160 - 00:04:16,370]  and
[00:04:16,370 - 00:04:16,580]  the
[00:04:16,580 - 00:04:16,790]  pro
[00:04:16,790 - 00:04:16,990]  one
[00:04:16,990 - 00:04:17,320] ,
[00:04:17,320 - 00:04:17,720]  ask
[00:04:17,720 - 00:04:17,930]  yourself
[00:04:17,930 - 00:04:18,150]  who
[00:04:18,150 - 00:04:18,770]  actually
[00:04:18,770 - 00:04:19,220]  decided
[00:04:19,220 - 00:04:19,570]  which
[00:04:19,570 - 00:04:19,790]  one
[00:04:19,790 - 00:04:20,150]  feels
[00:04:20,150 - 00:04:20,440]  like
[00:04:20,440 - 00:04:20,650]  the
[00:04:20,650 - 00:04:21,150]  obvious
[00:04:21,150 - 00:04:21,790]  choice
[00:04:21,790 - 00:04:21,880] .
[00:04:21,880 - 00:04:22,080]  Because
[00:04:22,080 - 00:04:22,240]  it
[00:04:22,240 - 00:04:22,720]  probably
[00:04:22,720 - 00:04:22,950]  wasn
[00:04:22,950 - 00:04:23,070] 't
[00:04:23,070 - 00:04:23,280]  you
[00:04:23,280 - 00:04:23,520] .
